objectid,reg,dep,cv,codgeo,libgeo,p21_pop
134137,72,33,3301,33005,Andernos-les-Bains,12472
133625,83,63,6324,63284,Pont-du-Château,12459
116206,24,28,2808,28404,Vernouillet,12455
138400,91,11,1105,11076,Castelnaudary,12448
133981,42,67,6701,67046,Bischwiller,12435
137398,82,69,6905,69027,Brignais,12388
134462,11,78,7819,78624,Triel-sur-Seine,12388
119369,93,06,0614,06104,Roquebrune-Cap-Martin,12371
122711,23,76,7631,76484,Oissel,12367
143883,82,07,0799,07019,Aubenas,12360
125136,41,57,5721,57630,Sarrebourg,12359
136690,73,31,3123,31561,L' Union,12358
141193,31,62,6226,62413,Harnes,12317
115632,11,78,7801,78029,Aubergenville,12317
115315,91,48,4899,48095,Mende,12316
112534,53,29,2925,29233,Quimperlé,12313
117214,82,73,7312,73179,La Motte-Servolex,12299
113194,21,10,1014,10081,La Chapelle-Saint-Luc,12299
134929,22,60,6018,60509,Pont-Sainte-Maxence,12291
137997,11,77,7703,77118,Claye-Souilly,12282
144926,31,62,6217,62186,Bully-les-Mines,12221
130353,42,67,6712,67348,Obernai,12216
141836,52,44,4406,44036,Châteaubriant,12189
130816,93,13,1306,13081,Rognac,12175
132407,42,68,6813,68271,Riedisheim,12163
141665,23,76,7601,76057,Barentin,12154
116407,52,44,4402,44132,Pornichet,12121
127313,93,83,8312,83112,Saint-Cyr-sur-Mer,12103
136481,52,72,7217,72264,Sablé-sur-Sarthe,12096
111708,11,95,9512,95351,Louvres,12083
110367,11,94,9416,94060,La Queue-en-Brie,12081
135509,93,83,8318,83130,Solliès-Pont,12080
118431,82,42,4215,42044,Le Chambon-Feugerolles,12066
118245,31,59,5934,59491,Raismes,12055
134407,31,59,5929,59383,Marly,12024
140458,25,14,1416,14341,Ifs,11981
142520,11,77,7718,77379,Provins,11958
115842,53,56,5605,56078,Guidel,11947
116793,53,56,5621,56206,Saint-Avé,11927
127107,23,27,2713,27284,Gisors,11919
144487,53,35,3523,35210,Pacé,11918
142899,82,69,6900,69069,Craponne,11903
132525,26,21,2123,21617,Talant,11894
114506,02,972,972,972221,Rivière-Salée,11887
122633,73,12,1218,12176,Onet-le-Château,11873
134875,41,57,5706,57221,Florange,11869
132917,11,91,9107,91215,Épinay-sous-Sénart,11869
121533,11,95,9514,95313,L' Isle-Adam,11846
128312,41,57,5724,57433,Maizières-lès-Metz,11792
135942,53,29,2912,29235,Le Relecq-Kerhuon,11791
116366,31,59,5935,59574,Somain,11790
126442,91,30,3021,30341,Vauvert,11774
111861,03,973,973,973306,Mana,11764
134377,93,83,8315,83042,Cogolin,11762
132048,52,49,4908,49018,Baugé-en-Anjou,11757
115789,82,38,3806,38485,Seyssinet-Pariset,11753
111171,02,972,972,972230,La Trinité,11747
123350,42,68,6803,68063,Cernay,11745
120274,93,13,1309,13106,Septèmes-les-Vallons,11734
120330,73,12,1222,12300,Villefranche-de-Rouergue,11720
124706,02,972,972,972220,Rivière-Pilote,11712
131501,11,91,9107,91573,Saint-Pierre-du-Perray,11680
115707,82,38,3807,38474,Sassenage,11660
120636,11,94,9416,94075,Villecresnes,11642
132507,23,76,7603,76114,Bolbec,11635
134700,83,63,6330,63430,Thiers,11633
121300,73,31,3114,31483,Saint-Gaudens,11613
143244,24,37,3710,37050,Chambray-lès-Tours,11589
110698,72,33,3318,33200,Le Haillan,11572
123608,91,66,6614,66172,Saint-Estève,11550
131133,31,62,6235,62617,Noeux-les-Mines,11520
143807,22,02,0203,02173,Chauny,11496
140926,42,67,6706,67204,Hoenheim,11469
122871,72,33,3314,33284,Mios,11469
140059,93,84,8414,84141,Vedène,11457
114596,31,59,5919,59249,Fourmies,11456
115661,21,51,5123,51649,Vitry-le-François,11454
130890,93,83,8302,83071,La Londe-les-Maures,11442
136934,11,95,9515,95210,Enghien-les-Bains,11440
113723,04,974,97401,974401,Les Avirons,11434
141563,31,62,6208,62570,Méricourt,11431
142138,91,66,6603,66171,Saint-Cyprien,11398
112803,93,13,1303,13075,Plan-de-Cuques,11396
113024,42,67,6714,67437,Saverne,11390
120878,74,87,8719,87154,Saint-Junien,11387
129884,23,76,7635,76758,Yvetot,11385
142135,53,22,2221,22215,Ploufragan,11369
138599,11,93,9307,93030,Dugny,11328
110608,31,59,5903,59112,Bruay-sur-l'Escaut,11309
119639,11,91,9101,91552,Saint-Germain-lès-Arpajon,11305
135275,11,91,9101,91021,Arpajon,11281
142645,11,91,9105,91200,Dourdan,11279
138837,11,77,7712,77153,Dammartin-en-Goële,11272
119156,82,74,7411,74224,La Roche-sur-Foron,11263
137882,72,33,3332,33009,Arcachon,11259
126046,73,31,3123,31488,Saint-Jean,11243
141500,94,2A,2A99,2A247,Porto-Vecchio,11229
121432,52,49,4914,49125,Doué-la-Fontaine,11228
133266,25,50,5014,50041,Beaumont-Hague,11223
125954,31,59,5920,59273,Gravelines,11223
113499,31,59,5923,59386,Marquette-lez-Lille,11213
121777,82,07,0707,07102,Guilherand-Granges,11203
125433,82,07,0714,07324,Tournon-sur-Rhône,11191
113783,11,77,7711,77487,Vaux-le-Pénil,11174
139500,11,78,7815,78674,Villepreux,11150
130552,11,77,7720,77067,Cesson,11140
122677,42,68,6807,68112,Guebwiller,11137
141828,31,59,5939,59544,Saint-Saulve,11117
116682,52,44,4401,44003,Ancenis,11099
135962,72,33,3301,33051,Biganos,11095
120820,82,69,6900,69271,Chassieu,11092
135209,52,44,4419,44129,Pontchâteau,11075
129604,82,74,7410,74208,Passy,11068
120623,41,57,5725,57660,Stiring-Wendel,11067
129760,74,87,8717,87114,Panazol,11064
118605,24,28,2806,28229,Mainvilliers,11057
